site_code,landing_date,species,catch_kg,boats_active
KOR-01,2024-01-01,Tilapia,885.6,6
KOR-01,2024-01-01,Common carp,429.0,9
OSE-01,2024-01-01,Tilapia,779.4,17
OSE-01,2024-01-01,Common carp,352.3,17
CRE-01,2024-01-01,Tilapia,950.0,7
CRE-01,2024-01-01,Common carp,410.9,6
KWS-ANX,2024-01-01,Tilapia,730.1,9
KWS-ANX,2024-01-01,Common carp,367.9,15
KOR-01,2024-02-01,Tilapia,714.7,9
KOR-01,2024-02-01,Common carp,417.4,17
OSE-01,2024-02-01,Tilapia,844.2,9
OSE-01,2024-02-01,Common carp,386.0,10
CRE-01,2024-02-01,Tilapia,910.3,6
CRE-01,2024-02-01,Common carp,422.4,8
KWS-ANX,2024-02-01,Tilapia,882.5,11
KWS-ANX,2024-02-01,Common carp,365.9,9
KOR-01,2024-03-01,Tilapia,927.9,11
KOR-01,2024-03-01,Common carp,338.2,12
OSE-01,2024-03-01,Tilapia,717.3,11
OSE-01,2024-03-01,Common carp,395.9,18
CRE-01,2024-03-01,Tilapia,704.2,13
CRE-01,2024-03-01,Common carp,388.2,12
KWS-ANX,2024-03-01,Tilapia,712.9,10
KWS-ANX,2024-03-01,Common carp,421.9,15
KOR-01,2024-04-01,Tilapia,891.4,11
KOR-01,2024-04-01,Common carp,384.7,17
OSE-01,2024-04-01,Tilapia,695.8,16
OSE-01,2024-04-01,Common carp,345.3,10
CRE-01,2024-04-01,Tilapia,915.3,9
CRE-01,2024-04-01,Common carp,417.3,12
KWS-ANX,2024-04-01,Tilapia,745.8,16
KWS-ANX,2024-04-01,Common carp,413.7,8
KOR-01,2024-05-01,Tilapia,751.5,9
KOR-01,2024-05-01,Common carp,386.8,17
OSE-01,2024-05-01,Tilapia,884.4,16
OSE-01,2024-05-01,Common carp,320.7,16
CRE-01,2024-05-01,Tilapia,704.8,17
CRE-01,2024-05-01,Common carp,339.8,13
KWS-ANX,2024-05-01,Tilapia,753.7,16
KWS-ANX,2024-05-01,Common carp,388.8,9
KOR-01,2024-06-01,Tilapia,807.4,18
KOR-01,2024-06-01,Common carp,389.8,9
OSE-01,2024-06-01,Tilapia,838.9,18
OSE-01,2024-06-01,Common carp,340.1,10
CRE-01,2024-06-01,Tilapia,665.4,15
CRE-01,2024-06-01,Common carp,400.6,11
KWS-ANX,2024-06-01,Tilapia,699.0,13
KWS-ANX,2024-06-01,Common carp,348.7,16
KOR-01,2024-07-01,Tilapia,738.8,10
KOR-01,2024-07-01,Common carp,313.9,17
OSE-01,2024-07-01,Tilapia,761.8,10
OSE-01,2024-07-01,Common carp,378.1,12
CRE-01,2024-07-01,Tilapia,837.3,12
CRE-01,2024-07-01,Common carp,337.4,8
KWS-ANX,2024-07-01,Tilapia,750.1,7
KWS-ANX,2024-07-01,Common carp,379.0,7
KOR-01,2024-08-01,Tilapia,654.9,8
KOR-01,2024-08-01,Common carp,374.1,12
OSE-01,2024-08-01,Tilapia,752.1,12
OSE-01,2024-08-01,Common carp,331.8,13
CRE-01,2024-08-01,Tilapia,737.4,14
CRE-01,2024-08-01,Common carp,381.2,6
KWS-ANX,2024-08-01,Tilapia,770.5,7
KWS-ANX,2024-08-01,Common carp,362.8,14
