site_code,sample_date,turbidity_ntu,ph,dissolved_o2_mgl,temp_c
KOR-01,2024-01-01,35.4,7.42,4.88,22.7
OSE-01,2024-01-01,37.6,7.04,4.23,22.9
CRE-01,2024-01-01,33.1,7.15,4.24,23.3
KWS-ANX,2024-01-01,36.7,7.15,4.64,22.7
KOR-01,2024-02-01,33.3,7.0,4.81,21.6
OSE-01,2024-02-01,32.2,7.18,4.3,23.3
CRE-01,2024-02-01,34.0,7.39,4.84,21.2
KWS-ANX,2024-02-01,35.9,7.14,4.37,20.7
KOR-01,2024-03-01,36.2,7.11,4.81,22.5
OSE-01,2024-03-01,36.9,7.1,4.21,23.1
CRE-01,2024-03-01,33.4,7.25,4.98,20.6
KWS-ANX,2024-03-01,35.5,7.11,4.82,21.8
KOR-01,2024-04-01,37.3,6.97,5.27,21.1
OSE-01,2024-04-01,32.1,7.16,4.65,22.9
CRE-01,2024-04-01,35.9,7.46,4.82,21.1
KWS-ANX,2024-04-01,34.4,7.47,4.97,22.4
KOR-01,2024-05-01,35.2,6.97,5.42,22.0
OSE-01,2024-05-01,35.8,7.1,4.84,22.2
CRE-01,2024-05-01,32.9,7.3,4.58,22.7
KWS-ANX,2024-05-01,32.8,7.24,4.6,23.0
KOR-01,2024-06-01,32.8,7.03,5.48,22.3
OSE-01,2024-06-01,33.6,7.17,4.87,22.0
CRE-01,2024-06-01,36.5,7.48,4.91,22.5
KWS-ANX,2024-06-01,33.4,7.3,4.82,20.8
KOR-01,2024-07-01,36.5,7.04,5.25,22.9
OSE-01,2024-07-01,32.5,6.93,5.16,22.3
CRE-01,2024-07-01,36.3,7.17,5.08,22.2
KWS-ANX,2024-07-01,36.0,7.13,4.69,20.9
KOR-01,2024-08-01,34.7,7.44,5.84,23.2
OSE-01,2024-08-01,36.3,7.03,5.06,22.6
CRE-01,2024-08-01,34.4,7.23,5.15,20.9
KWS-ANX,2024-08-01,32.4,7.18,4.84,22.2
KOR-01,2024-09-01,32.3,7.35,5.65,22.9
OSE-01,2024-09-01,36.9,7.16,5.19,21.8
CRE-01,2024-09-01,32.5,7.42,4.82,22.8
KWS-ANX,2024-09-01,36.6,7.07,5.08,22.0
KOR-01,2024-10-01,31.6,7.16,6.02,21.2
OSE-01,2024-10-01,33.5,7.44,4.57,21.0
CRE-01,2024-10-01,33.8,6.99,4.68,21.7
KWS-ANX,2024-10-01,33.4,7.18,4.55,23.0
KOR-01,2024-11-01,32.3,7.36,6.36,20.6
OSE-01,2024-11-01,36.7,7.25,4.93,23.3
CRE-01,2024-11-01,33.2,7.13,5.26,23.0
KWS-ANX,2024-11-01,34.6,7.34,5.19,23.2
KOR-01,2024-12-01,32.7,7.06,6.14,21.7
OSE-01,2024-12-01,35.4,7.38,5.17,23.0
CRE-01,2024-12-01,36.9,7.49,5.02,23.2
KWS-ANX,2024-12-01,34.9,7.3,4.66,21.8
KOR-01,2025-01-01,34.8,7.01,6.11,21.5
OSE-01,2025-01-01,34.0,7.1,5.34,21.3
CRE-01,2025-01-01,37.0,7.15,5.31,21.9
KWS-ANX,2025-01-01,35.8,6.93,5.4,21.2
KOR-01,2025-02-01,29.8,7.47,6.08,20.6
OSE-01,2025-02-01,32.7,7.4,5.18,21.2
CRE-01,2025-02-01,34.1,6.97,5.44,21.9
KWS-ANX,2025-02-01,32.8,7.12,5.17,23.4
KOR-01,2025-03-01,33.5,7.37,6.33,21.4
OSE-01,2025-03-01,34.6,7.46,5.19,23.2
CRE-01,2025-03-01,33.4,7.46,4.89,22.3
KWS-ANX,2025-03-01,36.1,7.05,5.29,21.4
KOR-01,2025-04-01,33.1,7.38,6.99,22.2
OSE-01,2025-04-01,31.3,7.22,5.3,20.7
CRE-01,2025-04-01,35.0,6.91,5.11,22.0
KWS-ANX,2025-04-01,33.7,7.12,5.49,21.9
KOR-01,2025-05-01,29.7,7.01,6.92,22.5
OSE-01,2025-05-01,34.7,7.45,5.44,21.9
CRE-01,2025-05-01,36.0,7.26,5.08,21.2
KWS-ANX,2025-05-01,36.6,7.07,5.18,22.8
KOR-01,2025-06-01,32.0,7.3,6.92,22.0
OSE-01,2025-06-01,32.9,7.19,5.15,21.3
CRE-01,2025-06-01,32.7,7.26,5.57,22.2
KWS-ANX,2025-06-01,34.1,7.01,5.06,21.7
KOR-01,2025-07-01,31.7,7.04,7.18,22.6
OSE-01,2025-07-01,33.6,6.91,5.15,21.7
CRE-01,2025-07-01,32.4,7.3,5.21,22.2
KWS-ANX,2025-07-01,33.0,7.5,5.35,21.6
KOR-01,2025-08-01,30.9,7.08,7.13,22.7
OSE-01,2025-08-01,32.8,7.35,5.72,22.6
CRE-01,2025-08-01,32.0,7.34,5.18,22.3
KWS-ANX,2025-08-01,35.4,7.26,5.74,23.0
KOR-01,2025-09-01,29.8,7.12,7.34,22.6
OSE-01,2025-09-01,31.6,6.93,5.04,21.4
CRE-01,2025-09-01,36.5,7.28,5.6,20.8
KWS-ANX,2025-09-01,30.9,7.07,5.38,21.5
KOR-01,2025-10-01,33.6,7.05,7.94,20.8
OSE-01,2025-10-01,31.1,7.2,5.51,22.6
CRE-01,2025-10-01,31.7,7.39,5.8,20.8
KWS-ANX,2025-10-01,32.2,7.23,5.38,22.3
KOR-01,2025-11-01,31.3,7.37,7.7,23.2
OSE-01,2025-11-01,32.5,7.25,5.43,22.2
CRE-01,2025-11-01,31.0,7.48,5.17,22.8
KWS-ANX,2025-11-01,34.4,7.06,5.15,21.2
KOR-01,2025-12-01,30.7,6.99,7.88,22.6
OSE-01,2025-12-01,33.4,6.92,5.37,21.3
CRE-01,2025-12-01,35.8,6.94,5.32,21.3
KWS-ANX,2025-12-01,35.4,7.25,5.78,21.1
